News_ID,News_loc,Article_title,Article_headline,Image_source,News_Source,Article_text
101,Law News,Supreme Court defers hearing on Tirupati laddu row as Centre seeks time to reply,The Supreme Court has sought Solicitor General Tushar Mehta's assistance on whether the SIT constituted by the Andhra government should carry on the investigation or if the matter required a probe by a central agency. ,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202410/tirupati-laddu-row-035413606-16x9_0.jpg?VersionId=1L5.tONhawqKenN58WaqIfeuNKR601i5&size=690:388,https://www.indiatoday.in/india/law-news/story/supreme-court-hearing-tirupati-temple-laddu-investigation-solicitor-general-tushar-mehta-2610840-2024-10-03,"The Supreme Court on Thursday deferred the hearing on the matter as to which agency should investigate the allegations ofadulterated ghee in making the prasadam laddus at Andhra Pradesh's Tirupati templeto Friday as Solicitor General sought more time to file a reply. The court gave Mehta, representing the Centre, time till 10.30 am on Friday to file his reply. In the last hearing, a bench led by Justice BR Gavai had sought SG’s assistance on whether theSIT constituted by the Andhra Pradesh governmentshould carry on the investigation or if the matter required a probe by a central agency. The court was hearing three petitions filed by senior BJP leader Subramanian Swamy, Rajya Sabha MP and former TTD chairman YV Subba Reddy, and the third one by historian Vikram Sampath and spiritual discourse speaker Dushyanth Sridhar. During the last hearing, the top court questioned Chandrababu Naidu over going public with allegations that animal fat-laced adulterated ghee was used to prepare the famous laddus at Sri Venkateswara temple in Tirupati without conclusive proof. ""So what was the need to go to the press at all, when you yourself ordered an investigation"", the top court asked, remarking ""At least, the Gods should be kept away from politics"". The top court had said that individuals holding constitutional office are expected to keep religion separate from politics, noting that Chief Minister Naidu spoke about the matter even before a case was filed ora Special Investigation Team (SIT) was constituted. The court said that Naidu made the claim on September 18, even though the FIR was lodged on September 25 and an SIT team was constituted on September 26. Chandrababu Naidu had earlier this month alleged thatanimal fat was used in the preparation of Tirupati laddusduring the tenure of the previous YS Jagan Mohan Reddy-led government, sparking a major political controversy. On September 19, a report by NDDB CALF, a private laboratory focused on testing animal feed and milk and milk products, revealed that the samples of the ghee used in making Tirupati laddus contained foreign fat, including palm oil, fish oil, beef tallow and lard (obtained by rendering the fatty tissue of a pig)."
102,EXCLUSIVE,Sonam Wangchuk urges Centre to fulfil promise on Ladakh: 'Come out as trustworthy',"Speaking to India Today, activist Sonam Wangchuk also urged the central government to keep its promise of bringing Ladakh under the Sixth Schedule of the Constitution.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202410/upf-ladakh-115122315-1x1_0.jpg?VersionId=Sfto9zjQuOC7io27vrxUjD47mmNqBnlU&size=115:115,https://www.indiatoday.in/india/story/sonam-wangchuk-detention-ladakh-sixth-schedule-centre-delhi-chalo-padyatra-2610885-2024-10-03,"Climate activist Sonam Wangchuk on Thursday urged the Centre not to do things that would make them disrespected and come out as trustworthy leaders of the country. Speaking exclusively to India Todayafter being released from detention, Wangchuk also urged the central government to keep its promise of bringing Ladakh under the Sixth Schedule of the Constitution. ""The government should not do things that will make them not respected. I want to correct them and only the best of friends do that. I want to tell them to keep their promises and come out as trustworthy leaders. Around 120 people from Ladakh, including Wangchuk,were detained by police at the Delhi borderon Monday night while they were marching towards the capital to demand the inclusion of Ladakh under the Sixth Schedule of the Constitution. The Sixth Schedule addresses the governance of tribal areas in specific northeastern states, including Assam, Meghalaya, Tripura, and Mizoram, by establishing ""autonomous districts and autonomous regions"" to safeguard the rights of indigenous communities. The marchersaim to secure similar protection for Ladakh. When asked about the demands for a separate statehood for Ladakh, Wangchuk emphasised that it is only the wish of the people of the Union Territory and not a demand. ""Statehood is not a promise. Many people say that statehood for Ladakh was promised by the Centre, but that's not true. It is only an appeal and demand from the people of Ladakh that they should enjoy the same fruits of democracy as the rest of India. However, the Sixth Schedule was a clear promise. You can check the manifestos of the 2019 Lok Sabha elections and the 2020 Ladakh council. It was on the top agenda of the manifesto that Ladakh would be included in the Sixth Schedule,"" Wangchuk explained. #EXCLUSIVE..""Statehood is not a promise...it is only an appeal from the people of Ladakh...now 6th schedule is a clear promise.."" -Sonam Wangchuk, Climate Activist#NewsToday#SonamWangchuk#Ladakh(@sardesairajdeep)@Wangchuk66pic.twitter.com/20uoMpcSz4— IndiaToday (@IndiaToday)October 3, 2024 The activist also questioned the reason behind delaying the demand for the last five years. ""I am not against a party or for a party. I would just like to remind the government of its promises,"" he said. ""I was assured by the Home Ministry that this will happen, and I am still trusting the government,"" he added. Wangchuk was leading the march,'Delhi Chalo Padyatra', which began from Leh a month ago. His detention was criticised by several opposition leaders, including Rahul Gandhi, whocalled it ""very bad"" and ""unacceptable"". ""The detention of Sonam Wangchuk ji and hundreds of Ladakhis peacefully marching for environmental and constitutional rights is unacceptable. Why are the elderly being detained at Delhi’s border for standing up for Ladakh’s future? Modi ji, like with the farmers, this ‘Chakravyuh’ will be broken, and so will your arrogance. You will have to listen to Ladakh’s voice,"" Rahul Gandhi had posted on X."
103,India News,Devotees throng Durga Puja pandals in Bengal amid 'boycott celebration' calls,"Even as demonstrations, marches and protests demanding justice for the murdered RG Kar hospital doctor continue, members of various organising committees have assured that preparations for the upcoming Durga Puja festival are underway in full swing.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202410/durga-puja-031448336-1x1.jpeg?VersionId=37MWeJFQ1xAwUa3fuvQjEJmGt3844sP.&size=115:115,https://www.indiatoday.in/india/story/west-bengal-durga-puja-pandal-crowd-boycott-celebration-calls-rg-kar-rape-and-murder-case-2610881-2024-10-03,"The people of West Bengal on Thursday defied the calls for Dura Puja's 'boycott of celebration' which was trending on social media as a mark of protest against the RG Kar rape and murder case. Even as demonstrations, marches and protestsdemanding justice for the murdered RG Kar hospital doctorcontinue, members of various organising committees have assured that preparations for the upcoming Durga Puja festival are underway in full swing. On the eve of Mahalaya, thousands of hoppers stood in queues for long hours at various pandals in the state, including at the popular Shreebhumi sporting club which is known to draw thousands of devotees every year. The club, which is known for its unique Durga Puja themes,created a replica of Tirupati Balaji templethis year. Mahalaya is a festival that marks the start of the festive season and the arrival of Goddess Durga on Earth. West Bengal Chief MinisterMamata Banerjee had emphasisedthe importance of festivals in the state's cultural fabric, following calls from some protestors to boycott the Durga Puja festival in response to the RG Kar rape-murder case. Mamata Banerjee stated that West Bengal has a tradition of celebrating various festivals year-round, promoting inclusivity and unity. Speaking at the inauguration of the puja edition of Trinamool Congress's (TMC) mouthpiece, 'Jago Bangla', Banerjee stated that people should get back to festivities. Following the TMC chief's statement, many doctors, students and celebrities had cited that they would not get back to festivities or 'utsobe firbona' on social media. Doctors have been continuously protesting against therape and murder of a trainee woman doctorthat took place at Kolkata's RG Kar Medical College and Hospital on August 9, seeking justice for the victim. The doctors have also been demanding that proper arrangements, including restrooms, be made, ensuring the medics' safety at the workplace, especially during night shifts."
104,Andhra Pradesh,Pawan Kalyan proposes 'Sanatana Dharma Certification' system for purity of prasad,"Pawan Kalyan has called for a national 'Sanatana Dharma Protection Board' and annual funding to safeguard Sanatana Dharma, urging unity among Hindus against perceived threats to their traditions.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202410/pawan-kalyan-calls-for-sanatana-dharma-protection-board-to-safeguard-traditions-031735832-1x1.jpeg?VersionId=cXPniIwZfbWh.oe4a5G_lM2crXLnlFW4&size=115:115,https://www.indiatoday.in/india/andhra-pradesh/story/pawan-kalyan-sanatana-dharma-protection-board-hindus-andhra-pradesh-janasena-2610843-2024-10-03,"Andhra Pradesh Deputy Chief Minister Pawan Kalyan on Thursday proposed a 'Sanatana Dharma Certification' system to ensure the purity of materials used in offerings and'prasadams'at all temples across India. Addressing a public rally in Tirupati, Kalyan advocated for non-cooperation with individuals or organisations that attempt to defame or incite hatred against 'Sanatana Dharma'. His remarks came amid the ongoing controversy over the quality of laddus distributed at the Tirupati temple. ""Sanatana Dharma certification must be implemented to ensure the purity of materials used in offerings and prasadams at all the temples of India,"" Kalyan said. This certificate, he suggested, would maintain the sanctity of temple practices and safeguard religious traditions. He also called for the formation of a 'Sanatana Dharma Protection Board' at both the national and state levels to safeguard the principles of Sanatana Dharma and ensure its preservation across the country. He stressed the need for dedicated annual funds to support the board and its activities. ""A strong national Act is required to protect Sanatana Dharma and prevent actions that harm its beliefs. This Act should be enacted immediately and uniformly enforced across the Bharat. A 'Sanatana Dharma Protection Board' should be established at both the national and state level to oversee the implementation of this Act. Annual funds must be allocated to support this board and its activities,"" he said. These boards, according to the Jana Sena Party chief, would be responsible for ensuring that the ideals of 'Sanatana Dharma' are upheld and protected. ""There should be non-cooperation with those who spread hatred against Sanatana Dharma,"" he said. In his 'Varahi' declaration, Pawan Kalyan called upon Sanatanis (Hindus) to unite and transcend regional, linguistic, and other divides in order to stand against the attacks on Sanatana Dharma. He also emphasised the importance of raising their collective voice in defence of their traditions while maintaining respect for other faiths. Further in his speech, Pawan Kalyan also slammed Congress leader Rahul Gandhi for calling the Ram Mandir consecration ceremony a'Naach Gaana Sabha'(Dancing and singing programme). ""Rahul Gandhi says the Ayodhya ceremony was a'Naach Gaana Sabha'. You hurt Sanatani Hindus and then seek their votes for power? You might hate Modi ji, hate us, but don't dare to hate Lord Ram,"" Kalyan said."
105,UTTAR PRADESH,"School teacher, wife, 2 children shot dead at home by unknown men","A school teacher, his wife, and two children were shot dead by unidentified assailants in their Amethi home. Chief Minister Yogi Adityanath has assured strict action against culprits. ",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202410/up-family-killed-035929197-16x9_0.jpg?VersionId=0D.YJIoXlgRGmgyy4B7De3m8GKfj_AFf&size=690:388,https://www.indiatoday.in/india/story/uttar-pradesh-teacher-wife-2-children-shot-dead-at-their-home-in-amethi-by-unknown-men-2610862-2024-10-03,"A school teacher, his wife and their two children were shot dead by some unknown men at their home in Uttar Pradesh's Amethi on Thursday, police said. Some armed men barged into the teacher's house, opened fire on all the members and fled the scene. The victims, identified as Sunil Kumar, his wife Poonam, and their two daughters, aged 5 and 2, were living in a rented house near the Ahorwa Bhavani crossing. Police said that there were no signs of robbery and the motive behind the crime remained unclear. Superintendent of Police Anoop Kumar Singh confirmed all angles were being investigated, including a legal dispute involving Sunil. A case filed by Poonam on August 18 is being considered as a potential lead in the case. It was filed against one Chandan Verma, accusing him of harassment, assault and threats to kill. According to SP Anoop Singh, the earlier case was filed under the SC/ST Act. Police is also investigating those against whom the case was registered. Uttar Pradesh Chief Minister Yogi Adityanath assured strict action against culprits and has asked his officers to be at the crime site. ""The incident that happened in Amethi district today is highly condemnable and unforgivable. My condolences are with the bereaved family. The Uttar Pradesh government stands with the victim's family in this hour of grief. The culprits of this incident will not be spared at any cost, strictest legal action will be taken against them,"" Adityanath said in a post on X. Sunil was a government school teacher, employed at the Panhona Composite School in the Singhpur Block. Prior to becoming a teacher in 2020, he had served in the Uttar Pradesh police. All four victims were rushed to a hospital where doctors declared them brought dead."
106,India News,Trying to remind government of its promises: Sonam Wangchuk on Delhi Chalo Padyatra,"In an exclusive interview with India Today TV, climate activist Sonam Wangchuk talked about his recent detainment and the reasons behind his 'Delhi Chalo Padyatra'. ",https://akm-img-a-in.tosshub.com/indiatoday/images/video/202410/sonam-030843347-1x1.jpg?VersionId=AWZHvoTSsoxiSzd8avKMHuCfzl4PYn4v&size=115:115,https://www.indiatoday.in/india/video/trying-to-remind-government-of-its-promises-sonam-wangchuk-on-delhi-chalo-padyatra-2610878-2024-10-03,"In an exclusive interview with India Today TV, climate activist Sonam Wangchuk talked about his recent detainment and the reasons behind his 'Delhi Chalo Padyatra'. Talking about his missions,Sonam Wangchuk said, ""We walked for one month from Leh to Delhi. And our mission was two-fold. One to remind the government of the promises made to Ladakh about democracy in Ladakh in the form of statehood and in the form of the six schedule of the constitution which ensures democratic decentralisation for indigenous tribal communities. So to remind these two, we came all the way."" Women’s T20 World Cup 2024: Harmanpreet Kaur's India have been in stupendous form, having also beaten West Indies and South Africa in their warm-up matches. New Zealand, on the other hand, have lost their last 10 matches in Women's T20Is. In an exclusive interview with India Today TV's News Director Rahul Kanwal, Professor Vali Nasr, Senior Fellow, Johns Hopkins-SAIS, talked about the Iran-Israel war, what could be Israel's response to Iran's missile attack and what's the way forward. Watch this episode of Election Despatch to find out what locals have to say about the issues on which they will vote and which party has the edge in this election. Kareena Kapoor, along with her son Taimur, and Karan Johar's children, Yash and Ruhi among others, attended the birthday bash of Angad Bedi and Neha Dhupia's son, Guriq."
107,India News,India on handover of Chagos Islands by UK: Completes decolonisation of Mauritius,India has consistently supported Mauritius' claim for sovereignty over Chagos archipelago. The government welcomes the agreement between UK and Mauritus on the long-standing legal dispute.,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202410/chagos-03125726-1x1.jpeg?VersionId=Ud7.jLRLKHHWOMCr7D.s4OX_.figE.UN&size=115:115,https://www.indiatoday.in/india/story/india-welcomes-chagos-islands-agreement-uk-mauritius-2610844-2024-10-03,"The government on Thursday said that the agreement on thereturn of Mauritian sovereignty over the Chagos archipelago""completes the decolonisation of Mauritius"". The government expressed its strong support for the agreement between the United Kingdom and Mauritius. “The resolution of the long-standing Chagos dispute after two years of negotiations, in compliance with international law, is a welcome development,” the Ministry of External Affairs said, adding that India has consistently supported Mauritius’ claim of sovereignty over the islands. The government reiterated its firm stance on decolonisation and respect for territorial integrity, emphasising its longstanding partnership with Mauritius. The UK and Mauritius recently announced a ""historic"" agreement that will transfer sovereignty over the Chagos Islands to Mauritius while maintaining the joint UK-US military base on Diego Garcia, which will remain operational for at least 99 more years. This settlement, which has been under negotiation since 2022, resolves a decades-long territorial dispute and secures the future of the strategically important military base. British Prime Minister Keir Starmer hailed the agreement as a diplomatic success that ensures continued stability in the Indian Ocean region. “The Prime Minister reiterated the importance of protecting the UK-US military base on Diego Garcia, underscoring national and global security,” a Downing Street statement read. Mauritian Prime Minister Pravind Jugnauth also celebrated the agreement as a momentous occasion, stating, “Today marks the completion of our decolonisation, a long-awaited moment for the people of Mauritius.” US President Joe Biden applauded the agreement, highlighting its importance in securing Diego Garcia's role in global security for the next century. The military base has been crucial in maintaining regional stability and responding to crises in the Middle East, South Asia, and Africa. While the agreement has been welcomed by many, including the international community, some groups representing displaced Chagos Islanders have expressed frustration over being excluded from the negotiations. The Chagossian diaspora in the UK and Mauritius have long sought resettlement rights following their forced displacement in the 1970s to make way for the military base. India has backed Mauritus in the legal dispute over the Island. External Affairs Minister S Jaishankarreaffirmed New Delhi’s supportfor Mauritius during a visit to Port Louis earlier this year. India’s backing aligned with its broader principles on sovereignty and its special relationship with Mauritius, a fellow member of the Commonwealth. In the agreement between Mauritius and the UK, India played a quiet but important role in the background, as per a report by news agencyANI. “It firmly backed the principled Mauritian position, supporting its stance on the need to do away with the last vestiges of decolonisation. At the same time, it consistently encouraged both sides to negotiate with an open mind and with a view to achieving mutually beneficial outcomes. It is believed that the final outcome is a win for all sides involved and will reinforce long-term security in the Indian Ocean region,” the report added. The new agreement paves the way for Mauritius to manage resettlement on all islands except Diego Garcia. The treaty is expected to be finalised soon, marking a resolution to one of the last colonial-era territorial disputes."
108,India News,CBI arrests Trinamool leader in graft case against RG Kar ex-principal Sandip Ghosh,"Ashih Pandey, who is said to be close to Ghosh, was under the probe agency's scanner and was questioned by the Central Bureau of Investigation (CBI) on September 30.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202410/rg-kar-medical-college-and-hospital-03195129-1x1.jpg?VersionId=Qzcmg5keK3IrBhx4nQZ2ThzjzVusV2dE&size=115:115,https://www.indiatoday.in/india/story/cbi-arrests-trinamool-leader-in-graft-case-against-rg-kar-ex-principal-sandip-ghosh-2610857-2024-10-03,"The CBI arrested Ashish Pandey, understood to be a Trinamool Congress (TMC) youth leader, on Thursday in connection with the corruption case against RG Kar Medical College's former principal Sandip Ghosh, officials said. Pandey, who is said to be close to Ghosh, was under the probe agency's scanner and was questioned by the Central Bureau of Investigation (CBI) on September 30, they said. Ghosh was arrested in the corruption case on September 2. Later, the agency took his custody in the August 9 alleged rape and murder of a postgraduate trainee doctor at the medical college in Kolkata. In its FIR registered on the directions of the Calcutta High Court, the CBI has booked Ghosh and three Kolkata-based private entities, Ma Tara Traders of Madhya Jhorehat, Banipur, Howrah; Eshan Cafe of 4/1, Belgachia, and Khama Louha. The premises of all these entities named in the FIR were searched during the operation. The agency has filed the FIR against Ghosh and the private entities under Indian Penal Code sections 120 B (criminal conspiracy), 420 (cheating) and the provisions of the Prevention of Corruption Act."
109,Law News,"Activist Sonam Wangchuk, others released from detention, Delhi High Court told","Around 120 people from Ladakh, including Sonam Wangchuk, were allegedly detained at the Delhi border by police on Monday night while marching to the capital city. ",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202410/activist-sonam-wangchuk--others-released-from-detention--delhi-high-court-told-03022867-16x9_0.jpg?VersionId=DX4uGOWVlOoIMy.i6IlZjUdL8eCwtEGe&size=690:388,https://www.indiatoday.in/india/law-news/story/sonam-wangchuk-detained-ladakh-activists-delhi-march-sanghu-border-sc-tushar-mehta-2610798-2024-10-03,"The Solicitor General of India Tushar Mehta on Thursday informed the Delhi High Court that renowned climate activist Sonam Wangchuk and his associateshave been released from detention, and their movements are no longer restricted. A bench led by Chief Justice Manmohan was overseeing the case, where the Solicitor General (SG) confirmed that the order issued by the Delhi Police Commissioner's office on September 30, which prohibited public gatherings, had also been withdrawn. The bench was hearing petitions seeking the release of Wangchuk and his associates as well as challenging the prohibitory order. As many as 120 people from Ladakh, including Wangchuk, were allegedly detained at the Delhi border by police earlier this week while marching to the capital to demand the inclusion of Ladakh under the Sixth Schedule of the Constitution. Wangchuk was leading the march,'Delhi Chalo Padyatra', which began from Leh a month ago. ""The (prohibitory) order which was passed on September 30 now stands withdrawn in view of changed circumstances as they exist now. So far as persons who were allegedly detained, it was not detention in that sense, but they are also out,"" Mehta said. ""They visited Rajghat (yesterday). They were there for about two hours. They gave a memorandum which was accepted by the Ministry of Home Affairs. They have also left,"" he added. Advocate Prashant Bhushan, representing the petitioner, raised concerns during the hearing, stating that theactivists had intended to stage a peaceful protest at Jantar Mantar and that he had been informed they had not yet been released. ""According to our information, he is not totally free. They are not allowing Sonam Wangchuk to meet his other associates. They are kept in different places. Sonam Wangchuk has apparently been taken to Ladakh Bhawan and the others are being kept in Ambedkar Bhawan... There are still some restrictions. Let Sonam Wangchuk be produced in court,"" he said. However, Mehta strongly objected, affirming that according to his instructions, the activists, including Wangchuk, had been freed. ""If Prashant Bhushan has other information, he should file an affidavit and disclose the source of his information,"" the Solicitor General responded, challenging Bhushan's claim. The court, acknowledging Mehta's statement, recorded the information and proceeded to dispose of the Public Interest Litigation (PIL) filed in the matter."
110,India News,"High wages, bonus keep Indians motivated to stay in Israel despite tensions","Thousands of Indian workers have migrated to Israel for skilled labour jobs, earning up to Rs 1.92 lakh per month, despite escalating conflict in West Asia and warnings from the Indian Embassy to stay safe.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202410/indian-workers-prefer-to-stay-in-war-hit-israel-due-to-high-wages--monthly-bonus-030103555-1x1.jpeg?VersionId=wkDcxtKeZ1qyLBMRmQdHtFHi7Ho5feH8&size=115:115,https://www.indiatoday.in/india/story/indians-in-israel-iran-war-hezbollah-lebanon-airstrike-hamas-gaza-2610758-2024-10-03,"Amid long lines at a recruitment centre in Uttar Pradesh, Chotulal Bind was one of the few selected for a skilled labour job in Israel. Months later, Bind now finds himself working in the heart of war-torn West Asia, earning a salary he could only dream of in India. DespiteIsrael's ongoing conflict with Hamas in Gazaand Iran-backed terror group Hezbollah in Lebanon, Bind remains resolute in his decision to stay in the country. Tensions recently spiked when Iran launched over 180 ballistic missiles at Israel late on Tuesday night. In response, theIndian Embassy in Israel issued an advisoryurging its citizens to avoid unnecessary travel and seek safety in shelters whenever possible. Despite the uncertainty on the ground, Bind has no plans to return to India. ""No one is forcing me to work here. I am here because I want to be,"" Bind stated. ""I'm earning well, and I'm also sending money back home to my family"". Atul Singh, another worker recruited through the National Skill Development Corporation (NSDC), echoes similar sentiments. ""The issues are mainly with those recruited through private companies or middlemen. We, who were recruited directly through the government, face no such problems,"" he explained. The lure of high wages continues to draw many Indian workers, even amidst the chaos. Bahadur, a 36-year-old from Haryana, highlighted the economic opportunities: ""Where else will I earn this kind of money, save, and still be able to send it back home with dignity?"" India has become apreferred hub for Israel to source its skilled labour force, particularly after the suspension of work permits for thousands of Palestinians following the October 7 Hamas-led attack on Israel. As Palestinian workers, previously the backbone of Israel's construction sector, have been sidelined, Indian labourers have increasingly taken their place. The Israeli government, facing a significant workforce gap, has been actively recruiting from India to support their infrastructure and healthcare sectors. Indian youth have seized this opportunity, with thousands lining up outside recruitment centres in states like Haryana, Uttar Pradesh, and Maharashtra, eager to secure employment in Israel. In a recent initiative, Israel's Population, Immigration, and Border Authority (PIBA) requested the NSDC to recruit 10,000 construction workers and 5,000 caregivers. Between December 2023 and March 2024, 16,832 candidates underwent skill tests, with 10,349 selected for jobs in Israel. So far, about 5,800 have migrated, with 4,800 already working there and 1,000 more sent in September this year. Selected candidates are earning approximately Rs 1.92 lakh per month, along with a bonus of Rs 16,515, medical insurance, and accommodation. This government-backed recruitment has ensured that workers avoid the pitfalls of dealing with middlemen, often a source of exploitation. A source from India's Ministry of Skill Development and Entrepreneurship confirmed the numbers, stating, ""We have sent 5,800 skilled labourers to Israel, and the total number selected is close to 11,000. The documentation process for the remaining candidates is ongoing"". Israel had initially aimed to recruit between 50,000 to 100,000 Indian workers, but recent Iranian airstrikes and a significant escalation of conflict in West Asia may disrupt these plans. However, for many skilled labourers in India — where the unemployment rate stands at 6.6 per cent — this presents a rare opportunity to earn wages far beyond what they could achieve at home."
